"group","crbn","MB_init_conc","crbn_amt","ABS_0min","ABS_5min","ABS_10min","ABS_20min","ABS_30min","ABS_60min","ABS_90min","ABS_120min","ABS_24hrs","Dil_0min","Dil_5min","Dil_10min","Dil_20min","Dil_30min","Dil_60min","Dil_90min","Dil_120min","Dil_24hrs"
3,"GW",400,0,0.857,NA,NA,NA,NA,NA,NA,0.928,0.946,100,NA,NA,NA,NA,NA,NA,100,100
3,"GW",400,0.5003,0.898,0.818,0.841,0.851,0.827,0.801,0.798,0.772,0.605,100,100,100,100,100,100,100,100,100
3,"GW",400,1,0.843,0.8,0.779,0.756,0.757,0.668,0.623,0.559,0.292,100,100,100,100,100,100,100,100,50
3,"GW",400,1.5015,0.862,0.823,0.744,0.701,0.714,0.633,0.588,0.525,0.815,100,100,100,100,100,100,100,100,10
3,"GW",400,2.007,0.878,0.778,0.736,0.672,0.667,0.569,0.506,0.458,1.517,100,100,100,100,100,100,100,100,1
3,"GW",200,0,0.457,NA,NA,NA,NA,NA,NA,0.478,0.484,100,NA,NA,NA,NA,NA,NA,100,100
3,"GW",200,0.25,0.449,0.429,0.454,0.442,0.431,0.428,0.424,0.413,0.549,100,100,100,100,100,100,100,100,50
3,"GW",200,0.4998,0.464,0.421,0.446,0.42,0.413,0.401,0.388,0.374,0.325,100,100,100,100,100,100,100,100,50
3,"GW",200,1,0.465,0.424,0.418,0.383,0.369,0.319,0.291,0.272,0.244,100,100,100,100,100,100,100,100,10
3,"GW",200,1.5002,0.444,0.374,0.379,0.337,0.305,0.244,0.192,0.155,0.005,100,100,100,100,100,100,100,100,1
4,"GLW",200,0,0.762,NA,NA,NA,NA,NA,NA,3.325,3.046,50,NA,NA,NA,NA,NA,NA,10,10
4,"GLW",200,0.05,0.857,0.786,0.826,0.895,0.761,0.693,1.49,2.595,2.48,50,50,50,50,50,50,20,10,10
4,"GLW",200,0.1,0.899,0.869,0.846,0.791,0.7,0.553,1.115,1.813,1.536,50,50,50,50,50,50,20,10,10
4,"GLW",200,0.2,0.896,0.816,0.754,0.595,0.454,0.223,0.314,0,0.11,50,50,50,50,50,50,20,10,1
4,"GLW",200,0.3,0.892,0.785,0.667,0.578,0.349,0.095,0.045,0.02,0.015,50,50,50,50,50,50,20,10,1
4,"GLW",400,0,1.655,NA,NA,NA,NA,NA,NA,1.656,1.712,50.5,NA,NA,NA,NA,NA,NA,50,50
4,"GLW",400,0.1,1.677,0.882,0.817,0.817,0.781,0.711,0.701,1.255,1.279,50.5,100,100,100,100,100,100,50,50
4,"GLW",400,0.2,1.632,0.858,0.822,0.741,0.696,0.541,0.447,0.769,0.549,50.5,100,100,100,100,100,100,50,50
4,"GLW",400,0.3,1.515,0.818,0.797,0.695,0.656,0.518,0.344,0.461,0.136,50.5,100,100,100,100,100,100,50,50
4,"GLW",400,0.4,1.69,0.798,0.691,0.549,0.422,0.203,0.099,0.105,0.098,50.5,100,100,100,100,100,100,50,1
