"種類","試料","time","turb"
"原水","カオリン",0,15.491
"原水","カオリン",0,15.152
"原水","カオリン",0,14.997
"原水","カオリン",30,26.615
"原水","カオリン",30,26.312
"原水","カオリン",30,26.167
"原水","カオリン",60,23.044
"原水","カオリン",60,22.906
"原水","カオリン",60,22.893
"原水","カオリン",90,23.91
"原水","カオリン",90,23.603
"原水","カオリン",90,23.637
"原水","カオリン",120,19.903
"原水","カオリン",120,19.757
"原水","カオリン",120,19.441
"原水","三四郎",0,7.003
"原水","三四郎",0,7.053
"原水","三四郎",0,7.017
"原水","三四郎",30,10.946
"原水","三四郎",30,10.834
"原水","三四郎",30,10.945
"原水","三四郎",60,12.762
"原水","三四郎",60,12.624
"原水","三四郎",60,12.714
"原水","三四郎",90,17.904
"原水","三四郎",90,16.435
"原水","三四郎",90,15.588
"濾過水","A",30,0.083
"濾過水","A",30,0.083
"濾過水","A",30,0.083
"濾過水","A",60,0.358
"濾過水","A",60,0.343
"濾過水","A",60,0.358
"濾過水","A",90,0.382
"濾過水","A",90,0.373
"濾過水","A",90,0.402
"濾過水","B",30,0.176
"濾過水","B",30,0.179
"濾過水","B",30,0.173
"濾過水","B",60,0.481
"濾過水","B",60,0.487
"濾過水","B",60,0.481
"濾過水","B",90,0.251
"濾過水","B",90,0.246
"濾過水","B",90,0.246
"濾過水","B",120,0.209
"濾過水","B",120,0.152
"濾過水","B",120,0.158
"濾過水","C",30,0.734
"濾過水","C",30,0.728
"濾過水","C",30,0.719
"濾過水","C",60,1.04
"濾過水","C",60,1.037
"濾過水","C",60,1.017
"濾過水","C",90,0.898
"濾過水","C",90,0.915
"濾過水","C",90,0.88
"濾過水","C",120,1.363
"濾過水","C",120,1.357
"濾過水","C",120,1.343
