"班","filter","manometer","tapwtr","time_15","time_30","time_45","time_60","time_75","time_90","time_95","time_105","time_120"
3,"A",1,42.4,41.7,41.9,41.4,41,39.9,38.5,37.5,NA,NA
3,"A",2,43.7,42.9,43,42.7,42.1,40.9,39.4,38.2,NA,NA
3,"A",3,45.1,44.2,44.3,43.9,43.3,42,40.3,39,NA,NA
3,"A",4,46.5,45.6,45.8,45.5,44.7,43.3,41.5,39.9,NA,NA
3,"A",5,48.3,47.4,47.7,47.4,46.7,45,43.1,41.2,NA,NA
3,"A",6,50.4,49.8,50.4,50.3,49.7,48,45.7,43.7,NA,NA
3,"A",7,51.5,51.6,53.4,56.8,55.3,84.7,119,128,NA,NA
3,"A",8,51.6,51.6,53.8,56.9,55.6,84.7,119,128,NA,NA
3,"B",1,41.6,41.8,41.8,41.8,41.7,41.6,41.4,NA,41.5,41.3
3,"B",2,43.2,43.3,43.2,43.2,43.1,43,42.9,NA,42.8,42.7
3,"B",3,44.7,NA,44.8,44.8,44.7,44.6,44.4,NA,44.5,44.5
3,"B",4,46.4,NA,46.7,46.6,46.5,46.5,46.1,NA,46.4,46.2
3,"B",5,48.5,48.9,48.9,49.1,49.1,49,49,NA,48.9,48.8
3,"B",6,50.9,51.7,52.3,52.6,53.1,53.5,54.1,NA,54.8,55.7
3,"B",7,53,55.6,57.7,60,62.5,64.8,67.6,NA,70,73.1
3,"B",8,53,55.4,57.6,59.9,62.4,64.8,67.6,NA,70,73.1
3,"C",1,43.9,43.8,43.8,43.6,43.6,43.5,43.4,NA,43.4,43.7
3,"C",2,45.3,45.3,45.4,45.4,45.4,45.4,45.3,NA,45.4,45.2
3,"C",3,47.3,47.5,47.9,48,48.3,48.5,48.6,NA,48.8,48.9
3,"C",4,49.2,49.9,50.7,51.4,52.1,52.8,53.4,NA,54.2,55
3,"C",5,49.6,50.4,51.3,52,52.8,53.5,54.3,NA,55,55.9
3,"C",6,50.1,51.2,52,52.9,53.7,54.5,55.4,NA,56.3,57.2
3,"C",7,50.6,51.7,52.7,53.4,54.4,55.3,56.2,NA,57.2,58.2
3,"C",8,50.6,51.5,52.7,53.4,54.4,55.3,56.2,NA,57.2,58.2
1,"A",1,40.5,41.7,41.8,41.6,41.6,41.5,41.4,NA,NA,NA
1,"A",2,41.8,43.3,43.1,43.2,43.3,43.2,42.9,NA,NA,NA
1,"A",3,43.2,48,45.1,44.9,44.4,45,44.3,NA,NA,NA
1,"A",4,44.8,46.5,47.2,46.9,47,47,46.5,NA,NA,NA
1,"A",5,46.5,48.8,49.5,49.2,49.4,49.3,48.8,NA,NA,NA
1,"A",6,48.6,51.9,52.3,52.3,53,53.2,53,NA,NA,NA
1,"A",7,49.5,52.8,54,54.6,56.5,58.2,60.4,NA,NA,NA
1,"A",8,49.5,52.8,54,54.6,56.5,58.2,60.4,NA,NA,NA
1,"B",1,40.5,41.3,41.4,41.3,41.2,41.3,41.3,NA,41.2,41.1
1,"B",2,41.8,42.7,42.8,42.8,43,43,42.9,NA,42.8,42.7
1,"B",3,43.7,44.6,44.7,44.7,44.8,44.7,44.9,NA,44.6,44.5
1,"B",4,45.3,46.4,46.5,46.7,46.8,46.7,46.7,NA,46.6,46.5
1,"B",5,47.1,48.8,46.7,49,49.3,49.4,49.4,NA,49.3,48.8
1,"B",6,49.2,51.4,52.1,52.5,53.3,53.8,54.3,NA,54.5,54.8
1,"B",7,51.2,54.9,57.1,59.5,62.1,64.9,67.2,NA,69.8,72.2
1,"B",8,50.9,54.8,57,59.4,62.1,64.8,67.2,NA,69.8,72.1
1,"C",1,42.9,41.1,39,38.8,43.7,44,43.9,NA,43.8,43.8
1,"C",2,44.4,43,40.1,40,45.9,46,46,NA,46,46
1,"C",3,46.3,45,41.7,41.7,48.8,49.3,49.4,NA,49.8,49.9
1,"C",4,48.2,47.1,43.8,43.9,52.8,54,54.9,NA,55.8,56.6
1,"C",5,48.6,48,44.2,44.4,53.6,54.8,55.8,NA,56.8,57.7
1,"C",6,49,49,44.8,45,54.5,55.8,57,NA,58,59.2
1,"C",7,49.5,49.8,45.1,45.6,55.3,56.8,58,NA,59.3,60.4
1,"C",8,49.6,50,45,45.4,55.4,56.8,58,NA,59.2,60.4
