"","A","B","C","D","E","F"
"A","1","-1.3121E-3","101.39","16.902","24.215",""
"B","2","-2.3845E-3","101.39","16.899","46.276",""
"C","3","-4.0527E-3","101.41","16.896","67.647",""
"D","4","-4.8868E-3","101.43","16.892","88.936",""
"E","5","-3.8939E-3","101.39","16.888","110.25",""
"F","6","-2.9406E-3","101.44","16.885","133.56",""
"G","7","-1.6026E-4","101.44","16.880","164.77",""
"H","8","1.2629E-2","101.40","16.876","203.90",""
"I","9","2.6849E-2","101.38","16.874","226.45",""
"J","10","5.8028E-2","101.37","16.865","252.38",""
"K","11","1.2162E-1","101.38","16.859","278.65",""
"L","12","2.4693E-1","101.38","16.849","303.40",""
"M","13","2.7926E-1","101.40","16.843","307.71",""
"N","14","5.8053E-1","101.46","16.837","333.21",""
"O","15","1.1068","101.45","16.833","357.90",""
"P","16","1.6381","101.42","16.830","374.74",""
"Q","17","2.7300","101.46","16.830","400.46",""
"R","18","3.7087","101.43","16.828","418.97",""
"S","19","4.8427","101.36","16.829","437.17",""
"T","20","6.9598","101.50","16.833","465.80",""
"U","21","7.4054","101.43","16.830","471.21",""
"V","22","9.8543","101.37","16.836","497.17",""
"W","23","12.559","101.49","16.843","520.43",""
"X","24","15.069","101.48","16.852","537.78",""
"Y","25","17.938","101.51","16.862","554.04",""
"Z","26","21.062","101.54","16.874","568.10",""
"A1","27","23.942","101.50","16.884","578.70",""
"B1","28","26.705","101.48","16.894","587.46",""
"C1","29","29.384","101.57","16.903","594.98",""
"D1","30","31.969","101.56","16.911","601.70",""
"E1","31","35.685","101.61","16.926","610.88",""
"F1","32","43.668","101.59","16.966","629.43",""
"G1","33","47.423","101.63","16.980","637.63",""
"H1","34","53.214","101.70","17.007","650.16",""
"I1","35","57.947","101.71","17.028","660.37",""
"J1","36","63.197","101.73","17.052","671.89",""
"K1","37","68.161","101.81","17.075","683.11",""
"L1","38","73.143","101.81","17.098","694.95",""
"M1","39","77.993","101.82","17.120","707.64",""
"N1","40","82.792","101.80","17.141","721.96",""
"O1","41","87.320","101.90","17.161","738.00",""
"P1","42","91.717","101.95","17.177","757.68",""
"Q1","43","96.792","101.97","17.188","795.40",""
"R1","44","99.646","102.06","17.179","851.51",""
"S1","45","100.81","102.01","17.173","869.34",""
"T1","46","101.44","102.07","17.163","878.56",""
"U1","47","102.14","102.20","17.141","893.26",""
